Surfaces,n_Cs,n_Pb,n_i,n_CsPbI3,E_formation,A
24cspbi3-csi(001),0,0,0,24,4.61,317.187
32cspbi3-csi(001),0,0,0,32,4.273,317.187
24cspbi3-pbi(001),0,0,0,24,4.549,317.187
32cspbi3-pbi(001),0,0,0,32,4.561,317.187
8pb16i24cspbi3(001),0,8,16,24,-13.441,317.187
8pb16i32cspbi3(001),0,8,16,32,-13.34,317.187
8pb12i24cspbi3(001),0,8,12,24,-5.492,317.187
8pb8i24cspbi3(001),0,8,8,24,3.38,317.187
8pb20i24cspbi3(001),0,8,20,24,-12.429,317.187
8pb24i24cspbi3(beta)(longer I-I distance),0,8,24,24,-10.875,317.187
8pb24i24cspbi3(001),0,8,24,24,-10.851,317.187
8pb28i24cspbi3(001),0,8,28,24,-9.323,317.187
8pb32i24cspbi3(001),0,8,32,24,-7.767,317.187
8cs8i32cspbi3(001),8,0,8,32,-23.941,317.187
8cs4i32cspbi3(001),8,0,4,32,-14.372,317.187
4cs8i32cspbi3(001),4,0,8,32,-9.678,317.187
4cs8i32cspbi3(beta)(more bonds)(001),4,0,8,32,-9.839,317.187
4cs4i32cspbi3(001),4,0,4,32,-9.34,317.187
2cs2i32cspbi3(001),2,0,2,32,-2.345,317.187
8i32cspbi3(001),0,0,8,32,5.622,317.187
4pb16i24cspbi3(001),0,4,16,24,-2.026,317.187
16i24cspbi3(001),0,0,16,24,2.767,317.187
8pb16i4cs8i24cspbi3(001),4,8,24,24,-27.136,317.187
7pb16i4cs8i24cspbi3(001),4,7,24,24,-24.693,317.187
4pb4i24cspbi3(001),0,4,4,24,4.444,317.187
8cs8i-32cspbi3(110),8,0,8,32,-23.992,318.566
8pb16i-24cspbi3(110),0,8,16,24,-13.461,318.566
8pb20i-24cspbi3(110),0,8,20,24,-12.231,318.566
8pb24i-24cspbi3(110),0,8,24,24,-10.803,318.566
8pb28i-24cspbi3(110),0,8,28,24,-9.278,318.566
8pb32i-24cspbi3(110),0,8,32,24,-7.813,318.566
24cspbi3-pbi(110),0,0,0,24,4.775,318.566
32cspbi3-csi(110),0,0,0,32,4.599,318.566
4cs8i-32cspbi3(110),4,0,8,32,-9.383,318.566
4cs8i-32cspbi3(beta)(110),4,0,8,32,-9.468,318.566
4pb12i-28cspbi3(110),0,4,12,28,-4.63,318.566
8i-32cspbi3(110),0,0,8,32,7.494,318.566
32cspbi3-csi-20csibonds(110),0,0,0,32,4.096,318.566
8cs8i-20cspbi3(100),8,0,8,20,-23.383,230.662
8pb16i-20cspbi3(100),0,8,16,20,-14.352,230.662
4pb16i-20cspbi3(100),0,4,16,20,-7.202,230.662
4pb8i-20cspbi3(100),0,4,8,20,-5.816,230.662
2pb12i-20cspbi3(100),0,2,12,20,-0.544,230.662
4cs8i-20cspbi3(100),4,0,8,20,-9.834,230.662
24cspbi3beta(100),0,0,0,24,3.695,230.662
24cspbi3delta(100),0,0,0,24,2.785,230.662